path,h1,h2_first,lang,size_bytes,last_commit_date,last_author
README.md,AquaStream,Документация,mixed,8085,2025-09-29,egorovma
backend-infra/README.md,Backend Infrastructure,Структура каталога,mixed,2256,2025-09-29,egorovma
docs/_internal/docs-structure.md,AquaStream Documentation Structure,Корневая структура,mixed,10459,N/A,N/A
docs/_internal/docs-tools/README.md,Documentation Tools,Структура,mixed,2836,N/A,N/A
docs/_internal/docs-tools/_reports/docs-quality-report.md,Docs Quality Report,Coverage,en,130,N/A,N/A
docs/_internal/docs-tools/_reports/docs-training-notes.md,Docs Training Notes,,mixed,308,N/A,N/A
docs/_internal/docs-tools/_reports/markdown_normalization_report.md,Markdown Normalization Report,,en,71,N/A,N/A
docs/_internal/docs-tools/_reports/migration-report.md,Migration Report,,mixed,278,N/A,N/A
docs/_internal/docs-tools/_reports/navigation-scenarios.md,Navigation Scenarios Report,,mixed,1192,N/A,N/A
docs/_internal/docs-tools/docs/api/index.md,,,mixed,324,N/A,N/A
docs/_internal/templates/README.md,Шаблоны документации,Доступные шаблоны,mixed,3880,2025-09-29,egorovma
docs/_internal/templates/adr-template.md,,Контекст,mixed,4027,2025-09-29,egorovma
docs/_internal/templates/architecture.md,Масштабирование через Docker Compose,Обзор,mixed,13222,2025-09-29,egorovma
docs/_internal/templates/backend-service-readme.md,Сборка всех модулей,Назначение,mixed,6713,2025-09-29,egorovma
docs/_internal/templates/frontend-component.md,Запуск тестов компонента,Описание,mixed,7647,2025-09-29,egorovma
docs/_internal/templates/operations-runbook.md,Просмотр логов сервиса,Общая информация,mixed,9328,2025-09-29,egorovma
docs/_internal/templates/qa-test-plan.md,Запуск unit тестов,Цель тестирования,mixed,6126,2025-09-29,egorovma
docs/_internal/templates/roadmap.md,,Обзор,mixed,7281,2025-09-29,egorovma
docs/_internal/to_refactoring/README.md,Документация требующая рефакторинга,⚠️ Статус: В процессе рефакторинга,mixed,3884,N/A,N/A
docs/_internal/to_refactoring/architecture/build-system.md,Сборочная система,,mixed,192,N/A,N/A
docs/_internal/to_refactoring/architecture/common-library.md,Общая библиотека,,mixed,201,N/A,N/A
docs/_internal/to_refactoring/architecture/database-design.md,Дизайн БД,,mixed,116,N/A,N/A
docs/_internal/to_refactoring/architecture/index.md,,Связанные материалы,mixed,436,N/A,N/A
docs/_internal/to_refactoring/architecture/microservices.md,Микросервисы,,mixed,156,N/A,N/A
docs/_internal/to_refactoring/architecture/overview.md,Архитектура,,mixed,159,N/A,N/A
docs/_internal/to_refactoring/architecture/security.md,Безопасность,,mixed,128,N/A,N/A
docs/_internal/to_refactoring/business/booking-flow.md,Процесс бронирования,Обзор,mixed,1187,N/A,N/A
docs/_internal/to_refactoring/business/crew-management.md,Управление группами,,ru,41,N/A,N/A
docs/_internal/to_refactoring/business/payment-methods.md,Способы оплаты,,ru,31,N/A,N/A
docs/_internal/to_refactoring/business/user-roles.md,Роли и права,,ru,26,N/A,N/A
docs/_internal/to_refactoring/contributing.md,CONTRIBUTING,,mixed,831,N/A,N/A
docs/_internal/to_refactoring/contributor-guide.md,endpoints...,Быстрый старт,mixed,6036,N/A,N/A
docs/_internal/to_refactoring/faq.md,,Предпросмотр не поднимается,mixed,666,N/A,N/A
docs/_internal/to_refactoring/modules/backend-common/README.md,,Описание,mixed,5210,N/A,N/A
docs/_internal/to_refactoring/modules/backend-common/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-common/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-crew/README.md,AquaStream Backend Crew Service,Описание,mixed,12822,N/A,N/A
docs/_internal/to_refactoring/modules/backend-crew/backend-crew-service/README.md,,Контекст,mixed,911,N/A,N/A
docs/_internal/to_refactoring/modules/backend-crew/backend-crew-service/changelog.md,,[Unreleased],mixed,515,N/A,N/A
docs/_internal/to_refactoring/modules/backend-crew/backend-crew-service/runbook.md,,Мониторинг,mixed,653,N/A,N/A
docs/_internal/to_refactoring/modules/backend-event/README.md,AquaStream Backend Event Service,Описание,mixed,17040,N/A,N/A
docs/_internal/to_refactoring/modules/backend-event/backend-event-service/README.md,,Контекст,mixed,911,N/A,N/A
docs/_internal/to_refactoring/modules/backend-event/backend-event-service/changelog.md,,[Unreleased],mixed,515,N/A,N/A
